"latitude","longitude","objeto"
11.748652,-71.399468,"Rio Seco"
10.463564,-64.099722,"Rio"
11.742575,-71.426884,"Rio Seco"
11.70131,-71.547377,"Quebrada Seca"
11.699101,-71.552284,"Quebrada Seca"
11.631542,-71.846066,"Rio Seco"
11.547643,-71.966165,"Rio"
10.996566,-71.760185,"Gran Afluente"
11.119315,-70.975009,"Rio Seco"
11.193938,-70.843658,"Quebrada Seca"
11.231402,-70.577206,"Rio Seco"
11.289941,-70.474473,"Rio Seco"
11.514371,-69.930976,"Rio Seco"
11.330293,-70.318065,"Rio Seco"
11.351961,-70.263625,"Rio Seco"
11.457098,-69.6005,"Rio"
11.486156,-69.111662,"Quebrada"
11.472263,-69.865359,"Quebrada Seca"
11.95387,-70.261722,"Quebrada Seca"
11.436653,-68.969984,"Rio"
11.349378,-68.724552,"Rio"
11.155418,-68.38963,"Rio"
11.058638,-68.335402,"Rio"
10.685214,-68.296791,"Rio"
10.583862,-68.241223,"Rio"
10.513441,-68.180122,"Quebrada"
10.481624,-68.111291,"Rio"
10.481723,-68.037513,"Quebrada"
10.474556,-68.023282,"Quebrada"
10.444606,-67.852699,"Quebrada"
10.490549,-67.763294,"Quebrada"
10.496742,-67.687219,"Quebrada"
10.49667,-67.663405,"Quebrada"
10.521118,-67.543022,"Quebrada"
10.529567,-67.399862,"Quebrada"
10.538966,-67.341842,"Quebrada"
10.550572,-67.241623,"Quebrada"
10.555368,-67.185274,"Quebrada"
10.592172,-67.059795,"Quebrada"
10.61264,-67.031014,"Quebrada"
10.603807,-66.963991,"Quebrada"
10.602416,-66.952216,"Quebrada"
10.605604,-66.919227,"Quebrada"
10.611646,-66.888419,"Quebrada"
10.612997,-66.871467,"Quebrada"
10.620898,-66.851295,"Quebrada"
10.615855,-66.825521,"Quebrada"
10.614035,-66.781737,"Quebrada"
10.625028,-66.744146,"Quebrada"
10.626434,-66.716598,"Rio"
10.623215,-66.692736,"Quebrada Seca"
10.624149,-66.651812,"Quebrada"
10.628588,-66.573161,"Rio"
10.628231,-66.566415,"Quebrada"
10.628482,-66.478548,"Quebrada"
10.627911,-66.458139,"Rio"
10.606342,-66.347532,"Rio"
10.618426,-66.313795,"Rio"
10.624692,-66.198251,"Rio"
10.487774,-66.099439,"Quebrada"
10.475707,-66.09193,"Rio"
10.437885,-66.054327,"Rio"
10.39473,-65.986307,"Rio"
10.470568,-64.192348,"Rio"
10.206998,-65.651199,"Rio"
10.199971,-65.630264,"Rio"
10.186318,-65.589222,"Quebrada"
10.157447,-65.496671,"Rio"
10.177488,-65.562608,"Quebrada"
10.091062,-65.184363,"Rio"
10.140361,-65.431012,"Rio"
10.109564,-64.746768,"Rio"
10.132557,-64.717149,"Rio"
10.170992,-64.708765,"Rio"
10.286708,-64.414246,"Rio"
10.247075,-64.60143,"Quebrada"
10.455931,-64.191347,"Quebrada"
10.441261,-64.042856,"Quebrada"
10.444071,-64.0007,"Quebrada"
10.450136,-63.961564,"Quebrada"
10.447095,-63.838269,"Quebrada"
10.449848,-63.774362,"Quebrada"
10.493089,-63.645663,"Rio"
10.596762,-64.049436,"Rio Seco"
10.620873,-64.119921,"Rio Seco"
10.702488,-63.114146,"Quebrada"
10.593644,-64.021274,"Rio Seco"
10.570534,-64.114357,"Rio Seco"
10.641013,-62.129137,"Quebrada"
10.575334,-62.29197,"Quebrada"
10.564559,-62.299643,"Quebrada"
10.55156,-62.542933,"Quebrada"
10.565614,-62.57993,"Quebrada"
10.566358,-62.586832,"Quebrada"
10.560087,-62.756726,"Gran Afluente"
10.52519,-62.833224,"Gran Afluente"
10.29167,-62.670653,"Gran Afluente"
10.237915,-62.639246,"Gran Afluente"
10.058158,-62.447352,"Gran Afluente"
9.99049,-62.356726,"Gran Afluente"
10.004481,-62.311071,"Gran Afluente"
10.022222,-62.215472,"Gran Afluente"
9.807069,-61.834042,"Gran Afluente"
9.834432,-61.657971,"Gran Afluente"
9.871069,-61.559822,"Gran Afluente"
9.60031,-61.213468,"Gran Afluente"
9.501074,-60.960776,"Gran Afluente"
9.285322,-60.79643,"Gran Afluente"
9.233483,-60.756254,"Gran Afluente"
9.168305,-60.720641,"Gran Afluente"
9.064108,-60.750026,"Gran Afluente"
8.997779,-60.785328,"Gran Afluente"
8.911096,-60.75777,"Gran Afluente"
8.870536,-60.724916,"Gran Afluente"
8.834045,-60.705977,"Gran Afluente"
8.788834,-60.674885,"Gran Afluente"
8.704404,-60.688104,"Gran Afluente"
8.621199,-60.701027,"Gran Afluente"
8.527828,-60.476722,"Rio"
8.58151,-60.425728,"Gran Afluente"
8.374943,-59.823863,"Gran Afluente"
11.77202,-71.377423,"Rio Seco"
11.719892,-71.451,"Quebrada Seca"
11.710621,-71.489866,"Quebrada Seca"
11.695763,-71.573287,"Rio Seco"
11.680608,-71.665432,"Quebrada Seca"
11.682591,-71.654957,"Quebrada Seca"
11.668892,-71.697842,"Quebrada Seca"
11.661081,-71.727796,"Quebrada Seca"
11.602225,-71.93049,"Quebrada Seca"
11.599075,-71.945789,"Quebrada Seca"
11.08997,-71.029302,"Canal"
11.046778,-71.108089,"Canal"
11.039304,-71.125761,"Canal"
11.01649,-71.167214,"Rio"
10.982616,-71.259092,"Canal"
11.15749,-70.909792,"Quebrada Seca"
11.136149,-70.94612,"Quebrada Seca"
11.203627,-70.778845,"Rio Seco"
11.225152,-70.627338,"Quebrada Seca"
11.230087,-70.568692,"Rio Seco"
11.240002,-70.538309,"Laguna"
11.290352,-70.406451,"Rio Seco"
11.308277,-70.376072,"Quebrada Seca"
11.30898,-70.363637,"Rio Seco"
11.355464,-70.207444,"Rio Seco"
11.349874,-70.219112,"Rio Seco"
11.377507,-70.177837,"Rio Seco"
11.504062,-69.204285,"Canal"
11.503888,-69.207453,"Rio"
11.503738,-69.200682,"Canal"
11.491873,-69.152962,"Laguna"
11.487416,-69.110814,"Rio"
11.483594,-69.116945,"Laguna"
11.445168,-68.884663,"Laguna"
11.375669,-68.769331,"Quebrada"
11.368497,-68.757016,"Quebrada"
11.273654,-68.557979,"Laguna"
10.922039,-68.263715,"Laguna"
10.848493,-68.226275,"Laguna"
10.81382,-68.270974,"Laguna"
10.79298,-68.310569,"Laguna"
10.781376,-68.323288,"Quebrada"
10.499861,-68.148973,"Quebrada"
10.532512,-66.105277,"Laguna"
10.536419,-66.093225,"Laguna"
10.384921,-65.978109,"Canal"
10.129202,-65.385671,"Laguna"
10.065302,-65.049966,"Laguna"
10.113465,-64.735784,"Canal"
10.206151,-64.666184,"Canal"
10.555209,-63.905163,"Quebrada Seca"
10.578415,-64.072795,"Rio Seco"
10.570164,-64.1669,"Rio Seco"
10.560659,-64.178548,"Quebrada Seca"
10.634811,-64.087802,"Quebrada Seca"
10.631416,-63.885823,"Quebrada Seca"
10.641481,-63.844103,"Quebrada Seca"
10.655547,-63.827087,"Laguna"
10.662653,-63.824433,"Laguna"
10.673157,-63.266319,"Laguna"
10.503242,-62.821016,"Gran Afluente"
11.354692,-70.277186,"Rio Seco"
11.238344,-70.542773,"Rio Seco"
11.230189,-70.661526,"Quebrada Seca"
11.22352,-70.716846,"Quebrada Seca"
11.015938,-71.166739,"Rio Seco"
10.958014,-71.348868,"Laguna"
10.953294,-71.475947,"Laguna"
11.004615,-71.193229,"Canal"
11.706129,-71.515139,"Rio Seco"
11.842172,-71.330764,"Laguna"
11.42217,-71.95961,"Quebrada Seca"
11.31994,-71.932078,"Laguna"
10.832913,-68.236938,"Laguna"
10.88041,-68.22201,"Laguna"
10.805996,-68.286592,"Laguna"
10.738137,-68.31667,"Quebrada"
10.729895,-68.31355,"Quebrada"
10.482441,-68.009733,"Canal"
10.464253,-67.931193,"Laguna"
10.454295,-67.919631,"Quebrada"
10.47145,-67.900174,"Laguna"
10.471852,-67.888691,"Laguna"
10.465968,-67.853238,"Laguna"
10.510006,-67.607065,"Quebrada"
10.532243,-67.474994,"Quebrada"
10.522609,-67.513421,"Quebrada"
10.547029,-66.066222,"Laguna"
10.305223,-65.875094,"Laguna"
10.17004,-65.538334,"Quebrada"
10.091451,-65.179403,"Canal"
10.416093,-64.225784,"Quebrada"
10.474915,-64.120602,"Laguna"
10.451574,-63.911803,"Quebrada"
10.971638,-64.170874,"Laguna"
10.954345,-64.145824,"Laguna"
10.922949,-64.116336,"Laguna"
10.904992,-64.109686,"Laguna"
10.86899,-64.042135,"Laguna"
10.895401,-63.939273,"Laguna"
10.897946,-63.953126,"Laguna"
10.952798,-63.845212,"Quebrada"
10.957682,-63.830689,"Laguna"
11.020718,-63.793688,"Laguna"
11.034131,-63.803181,"Laguna"
11.108317,-63.842244,"Quebrada"
11.139806,-63.857204,"Quebrada"
11.124703,-63.925887,"Laguna"
11.120682,-63.931969,"Laguna"
11.110794,-63.957175,"Laguna"
11.094753,-63.97627,"Laguna"
11.086465,-63.973989,"Laguna"
11.078318,-63.974183,"Rio"
11.028241,-64.015843,"Quebrada Seca"
11.019818,-64.021885,"Quebrada Seca"
10.998309,-64.023118,"Quebrada"
10.990009,-64.032266,"Laguna"
10.98189,-64.069934,"Laguna"
11.006625,-64.154032,"Laguna"
11.063237,-64.199514,"Quebrada Seca"
11.073429,-64.195891,"Quebrada Seca"
11.081472,-64.1959,"Quebrada Seca"
11.08424,-64.203598,"Quebrada Seca"
11.076935,-64.229844,"Quebrada Seca"
11.062972,-64.27641,"Rio Seco"
11.067054,-64.290468,"Quebrada Seca"
11.0562,-64.330427,"Quebrada Seca"
11.047812,-64.368942,"Quebrada Seca"
10.957503,-64.34046,"Rio Seco"
10.959913,-64.179882,"Laguna"
10.94076,-64.250323,"Quebrada Seca"
11.00463,-64.38191,"Quebrada Seca"
10.755567,-63.888754,"Canal"
10.824646,-64.165239,"Quebrada Seca"
10.802097,-64.190733,"Quebrada Seca"
10.780851,-63.901192,"Quebrada Seca"
10.800578,-63.940936,"Quebrada Seca"
10.896581,-65.248005,"Laguna"
10.917051,-65.384617,"Laguna"
10.921457,-65.400835,"Laguna"
10.908408,-65.20263,"Laguna"
11.810168,-64.589895,"Laguna"
11.820155,-64.624492,"Laguna"
11.853465,-66.736328,"Laguna"
11.77648,-66.595956,"Laguna"
11.794348,-66.596018,"Laguna"
11.952105,-66.67289,"Laguna"
11.930236,-66.655706,"Laguna"
12.03666,-69.845895,"Laguna"
10.495641,-68.06672,"Laguna"
10.771302,-71.663802,"Laguna"
10.739328,-71.633385,"Laguna"
11.284688,-68.605542,"Quebrada"
10.541576,-68.206922,"Quebrada"
10.607266,-66.896626,"Quebrada"
10.629785,-63.57247,"Laguna"
10.623888,-61.50067,"Rio"
10.55028,-62.379582,"Laguna"
10.534894,-62.34645,"Laguna"
10.596055,-61.481035,"Laguna"
10.554684,-61.466898,"Laguna"
10.525109,-61.466809,"Rio"
10.54234,-61.463256,"Rio"
10.604974,-61.485227,"Rio"
10.425521,-61.494586,"Rio"
10.477358,-63.662251,"Laguna"
10.48775,-63.679528,"Laguna"
10.481494,-63.698729,"Laguna"
10.648913,-63.48364,"Laguna"
10.673067,-63.266283,"Laguna"
10.672108,-63.244844,"Quebrada"
10.670541,-61.899856,"Laguna"
10.538506,-62.818474,"Quebrada"
11.482713,-69.375941,"Quebrada"
11.48437,-69.38977,"Quebrada Seca"
11.483777,-69.366197,"Quebrada"
11.490715,-69.354808,"Rio"
11.48578,-69.359448,"Quebrada Seca"
11.482739,-69.370364,"Quebrada Seca"
11.4337,-68.988046,"Laguna"
11.43007,-68.821019,"Laguna"
11.280432,-68.592246,"Laguna"
11.1823,-68.400643,"Laguna"
11.161289,-68.385679,"Laguna"
11.082146,-68.3502,"Quebrada Seca"
11.501025,-69.480892,"Quebrada Seca"
11.489691,-69.41563,"Quebrada Seca"
10.764981,-71.533818,"Petroquimica"
10.493867,-68.155825,"Termoelectrica"
10.073188,-64.874199,"Petroquimica"
10.521666,-68.19978,"Petroquimica"
11.736974,-70.196185,"Refineria"
10.242171,-64.608097,"Refineria"
11.632998,-70.223232,"Refineria"
10.339428,-71.418722,"Refineria"
10.484205,-68.120807,"Refineria"
10.223707,-64.624765,"Refineria"
10.530887,-67.400897,"Atracadero"
10.538875,-67.342928,"Atracadero"
10.551087,-67.239137,"Atracadero"
10.586135,-67.082053,"Atracadero"
10.59008,-67.078037,"Puerto"
10.599683,-67.043849,"Atracadero"
10.611672,-67.028815,"Atracadero"
10.61491,-67.016045,"Atracadero"
10.610492,-67.001965,"Atracadero"
10.62132,-66.846093,"Atracadero"
10.510007,-71.640623,"Refineria"
11.75083,-70.172232,"Termoelectrica"
10.431812,-64.166153,"Termoelectrica"
10.587117,-67.081164,"Termoelectrica"
10.482682,-67.997685,"Puerto"
10.604064,-66.996205,"Aeropuerto"
10.603077,-66.944821,"Puerto"
10.462728,-66.091776,"Aeropuerto"
10.240731,-64.633606,"Puerto"
10.245986,-64.591746,"Puerto"
10.866351,-64.061175,"Puerto"
10.912408,-63.967525,"Aeropuerto"
10.794522,-63.983529,"Aeropuerto"
10.450063,-64.130924,"Aeropuerto"
10.10731,-64.689279,"Aeropuerto"
10.553661,-66.071847,"Refineria"
10.444296,-67.848233,"Puerto"
10.478986,-68.070175,"Aeropuerto"
11.415203,-69.681801,"Aeropuerto"
10.637988,-71.603784,"Puerto"
10.559731,-71.728025,"Aeropuerto"
10.67236,-71.595082,"Ciudad"
10.389934,-71.443351,"Ciudad"
10.202608,-71.305361,"Ciudad"
11.631872,-70.230403,"Ciudad"
11.41459,-69.652383,"Ciudad"
10.46582,-68.01425,"Ciudad"
10.596365,-66.97798,"Ciudad"
10.198348,-64.696211,"Ciudad"
10.464738,-64.118203,"Ciudad"
10.955147,-63.851108,"Ciudad"
11.078892,-63.961543,"Ciudad"
10.669564,-63.251743,"Ciudad"
10.57034,-62.293159,"Puerto"
10.576522,-62.293489,"Ciudad"
10.658556,-63.261422,"Aeropuerto"
10.054171,-65.035397,"Pueblo"
10.132501,-65.416947,"Pueblo"
10.48064,-66.103593,"Pueblo"
10.233341,-64.63234,"Ciudad"
10.612138,-66.852859,"Ciudad"
10.619034,-66.738151,"Pueblo"
10.312523,-65.989597,"Pueblo"
10.238589,-64.601699,"Pueblo"
10.282609,-64.418509,"Pueblo"
10.899291,-64.087701,"Pueblo"
10.892201,-64.061987,"Pueblo"
10.900433,-63.964716,"Pueblo"
10.94038,-63.925074,"Pueblo"
11.000816,-63.791971,"Pueblo"
11.107592,-63.845898,"Pueblo"
11.145892,-63.86692,"Pueblo"
11.118383,-63.927365,"Pueblo"
11.106325,-63.960203,"Pueblo"
10.996035,-64.021321,"Pueblo"
11.01079,-64.379044,"Pueblo"
10.96133,-64.179933,"Pueblo"
10.892235,-63.927984,"Pueblo"
10.959476,-64.153566,"Pueblo"
10.899523,-64.105515,"Pueblo"
10.976244,-63.820408,"Pueblo"
10.699935,-63.115621,"Ciudad"
10.715401,-63.158764,"Pueblo"
10.458736,-64.190111,"Ciudad"
10.143264,-64.71076,"Ciudad"
10.475141,-68.109549,"Pueblo"
10.500936,-68.177025,"Pueblo"
10.788686,-68.322885,"Pueblo"
10.929413,-68.270951,"Ciudad"
11.684626,-70.21498,"Ciudad"
11.490564,-69.346425,"Pueblo"
11.460874,-69.567729,"Pueblo"
10.550638,-71.62173,"Ciudad"
10.261967,-71.368749,"Pueblo"
10.408781,-71.690534,"Pueblo"
10.382046,-71.731278,"Pueblo"
10.789647,-71.678822,"Pueblo"
10.729159,-71.52415,"Pueblo"
10.961945,-71.735368,"Pueblo"
11.432152,-69.021402,"Pueblo"
10.966919,-71.73393,"Atracadero"
11.488466,-69.554732,"Atracadero"
10.927067,-68.267719,"Atracadero"
10.802045,-71.678483,"Puerto"
10.810708,-71.680972,"Puerto"
10.715656,-71.598857,"Atracadero"
10.692895,-71.594211,"Atracadero"
10.784974,-71.587567,"Atracadero"
10.779847,-71.570576,"Atracadero"
11.512344,-69.314333,"Aeropuerto"
10.795222,-71.564271,"Atracadero"
11.6264,-70.234137,"Puerto"
11.747783,-70.217075,"Puerto"
11.79488,-70.257746,"Puerto"
10.793562,-68.315267,"Atracadero"
10.495682,-68.124747,"Puerto"
10.486326,-68.038204,"Puerto"
10.477092,-68.011855,"Atracadero"
10.495779,-67.744704,"Atracadero"
10.510419,-67.605852,"Atracadero"
10.591273,-67.048825,"Ciudad"
10.576515,-67.103567,"Pueblo"
10.572285,-67.118932,"Pueblo"
10.56894,-67.135835,"Pueblo"
10.549556,-67.240121,"Pueblo"
10.53805,-67.342658,"Pueblo"
10.529261,-67.400672,"Pueblo"
10.531771,-67.474677,"Pueblo"
10.521212,-67.514784,"Pueblo"
10.518283,-67.545605,"Pueblo"
10.554751,-67.18461,"Pueblo"
10.508133,-67.60719,"Pueblo"
10.48611,-67.770288,"Ciudad"
10.491623,-67.739549,"Pueblo"
10.452282,-67.924262,"Pueblo"
10.683258,-68.296822,"Pueblo"
11.150007,-68.397377,"Pueblo"
11.171367,-68.412073,"Pueblo"
12.446752,-69.915917,"Ciudad"
12.117207,-68.928923,"Ciudad"
12.102991,-68.270688,"Ciudad"
10.346334,-64.33954,"Pueblo"
10.415973,-64.221111,"Pueblo"
10.575444,-64.258675,"Pueblo"
10.640301,-64.284406,"Pueblo"
10.642005,-64.285021,"Atracadero"
10.638196,-64.236646,"Pueblo"
10.615151,-64.137539,"Pueblo"
10.628591,-64.0141,"Pueblo"
10.625873,-63.532543,"Pueblo"
10.629168,-63.900996,"Pueblo"
10.676406,-63.820939,"Pueblo"
10.628815,-63.588318,"Pueblo"
10.642354,-63.49267,"Pueblo"
10.647547,-63.472363,"Pueblo"
10.66873,-63.403693,"Pueblo"
10.671114,-63.403191,"Atracadero"
10.682234,-63.36162,"Pueblo"
10.667744,-63.338034,"Pueblo"
10.673136,-63.313592,"Pueblo"
10.662198,-63.28261,"Pueblo"
10.660639,-61.523059,"Ciudad"
10.660262,-61.941769,"Pueblo"
10.603391,-62.273304,"Pueblo"
10.628269,-62.257779,"Pueblo"
10.42327,-61.484425,"Ciudad"
10.403426,-61.491999,"Puerto"
10.750623,-62.739512,"Pueblo"
10.710389,-62.846928,"Pueblo"
10.708917,-63.070548,"Pueblo"
10.702054,-63.134575,"Pueblo"
10.702004,-63.1147,"Atracadero"
10.722132,-63.160248,"Atracadero"
10.716025,-63.160654,"Atracadero"
10.675819,-63.244363,"Puerto"
10.666489,-63.273616,"Atracadero"
10.439882,-64.045621,"Pueblo"
10.435668,-64.025682,"Pueblo"
10.439928,-64.014148,"Pueblo"
10.442986,-63.998115,"Pueblo"
10.446349,-63.968141,"Pueblo"
10.452015,-63.954646,"Pueblo"
10.448557,-63.933087,"Pueblo"
10.448339,-63.919229,"Pueblo"
10.449008,-63.897475,"Pueblo"
10.445332,-63.886079,"Pueblo"
10.442467,-63.864495,"Pueblo"
10.439528,-63.81659,"Pueblo"
10.441606,-63.788863,"Pueblo"
10.451079,-63.763292,"Pueblo"
10.496506,-63.738159,"Pueblo"
10.47355,-63.665775,"Pueblo"
10.489051,-63.676881,"Pueblo"
10.466723,-63.694895,"Pueblo"
10.552448,-63.829932,"Pueblo"
10.533225,-63.795119,"Pueblo"
10.554711,-63.903334,"Pueblo"
10.574095,-64.068248,"Pueblo"
10.573413,-64.067726,"Atracadero"
10.578927,-64.07351,"Atracadero"
10.579476,-64.07386,"Pueblo"
10.56609,-64.116342,"Pueblo"
10.566123,-64.118489,"Atracadero"
10.570955,-64.12029,"Atracadero"
10.578541,-64.133517,"Pueblo"
10.579188,-64.122893,"Pueblo"
10.571944,-64.16477,"Pueblo"
10.554845,-64.202096,"Pueblo"
10.507328,-64.232478,"Pueblo"
10.554363,-64.201537,"Atracadero"
10.558351,-64.185733,"Pueblo"
10.56395,-64.17388,"Atracadero"
10.571045,-64.164078,"Atracadero"
10.578017,-64.133127,"Atracadero"
10.57933,-64.124098,"Atracadero"
10.554484,-63.903406,"Atracadero"
10.451045,-63.94496,"Atracadero"
10.451671,-63.89959,"Atracadero"
10.444544,-63.784317,"Atracadero"
10.495517,-63.736731,"Atracadero"
10.545892,-64.207972,"Pueblo"
10.575929,-64.264807,"Puerto"
10.640003,-64.235964,"Atracadero"
10.61652,-64.13952,"Atracadero"
10.619009,-64.132609,"Atracadero"
10.630537,-64.016062,"Atracadero"
10.628965,-63.902974,"Atracadero"
10.649371,-63.83123,"Atracadero"
10.648438,-63.830399,"Pueblo"
10.679926,-63.821478,"Atracadero"
10.664786,-63.406483,"Atracadero"
10.677813,-63.395813,"Atracadero"
10.67344,-63.352192,"Pueblo"
10.707899,-63.172733,"Pueblo"
10.716553,-62.82698,"Pueblo"
10.716948,-62.827106,"Atracadero"
10.72138,-62.807181,"Pueblo"
10.733224,-62.771475,"Pueblo"
10.661404,-61.938355,"Atracadero"
10.565794,-62.583177,"Atracadero"
10.539737,-62.446743,"Pueblo"
10.566487,-62.580913,"Pueblo"
9.969909,-62.252488,"Pueblo"
9.978722,-62.231949,"Aeropuerto"
10.273167,-61.466581,"Ciudad"
10.17665,-61.690808,"Ciudad"
10.47526,-63.665639,"Atracadero"
10.799419,-71.512365,"Atracadero"
10.795567,-71.513051,"Pueblo"
11.8214,-70.275069,"Pueblo"
11.773171,-70.241603,"Pueblo"
11.985095,-69.82204,"Pueblo"
12.014347,-69.83475,"Pueblo"
11.940995,-69.805723,"Pueblo"
11.936032,-69.812448,"Aeropuerto"
11.943843,-69.802779,"Atracadero"
11.701918,-69.839711,"Pueblo"
11.480809,-69.379565,"Pueblo"
11.488645,-69.357483,"Atracadero"
11.483452,-69.362414,"Pueblo"
10.619871,-66.747069,"Atracadero"
10.625425,-66.739911,"Atracadero"
10.617154,-66.314237,"Pueblo"
10.606489,-66.351455,"Pueblo"
10.618368,-66.381184,"Pueblo"
10.627279,-66.459655,"Pueblo"
10.628145,-66.479218,"Pueblo"
10.629057,-66.513249,"Pueblo"
10.62244,-66.691946,"Pueblo"
10.623242,-66.650581,"Pueblo"
10.628341,-66.569138,"Pueblo"
10.608573,-66.166286,"Pueblo"
10.574735,-66.068603,"Pueblo"
10.575237,-66.067272,"Atracadero"
10.536315,-66.110998,"Atracadero"
10.489632,-66.096458,"Atracadero"
10.207027,-64.666707,"Atracadero"
10.214776,-64.648715,"Puerto"
10.227902,-64.636221,"Atracadero"
10.252995,-64.597409,"Atracadero"
10.238911,-64.580598,"Atracadero"
10.244154,-64.559021,"Puerto"
10.245489,-64.526933,"Atracadero"
10.244607,-64.526055,"Pueblo"
10.531372,-66.111746,"Atracadero"
10.609141,-66.170652,"Atracadero"
10.618804,-66.313784,"Atracadero"
10.623337,-66.714501,"Pueblo"
10.6058,-66.897802,"Pueblo"
10.607085,-66.894359,"Atracadero"
11.947205,-66.676824,"Pueblo"
11.947068,-66.678083,"Atracadero"
11.945611,-66.670791,"Aeropuerto"
10.137275,-64.828496,"Puerto"
11.438079,-68.838898,"Pueblo"
11.447167,-68.884543,"Pueblo"
11.352486,-68.688428,"Pueblo"
11.055754,-68.339846,"Pueblo"
10.942321,-68.264154,"Atracadero"
10.46607,-67.956617,"Pueblo"
11.514878,-69.308868,"Pueblo"
11.488321,-69.109657,"Pueblo"
10.627588,-64.291409,"Salina"
10.596019,-64.277266,"Salina"
10.570214,-64.257781,"Salina"
10.793276,-71.436386,"Salina"
10.807507,-71.431208,"Salina"
10.790073,-71.448193,"Pueblo"
10.792614,-71.466739,"Pueblo"
12.066792,-69.865244,"Salina"
12.105861,-69.8864,"Salina"
10.974454,-63.817278,"Atracadero"
10.981047,-63.810299,"Atracadero"
10.997626,-63.791569,"Atracadero"
11.493705,-69.443667,"Pueblo"
10.857719,-68.278505,"Atracadero"
10.822385,-68.268326,"Zona Hipoxica"
10.503512,-71.576471,"Zona Hipoxica"
10.245132,-64.556239,"Industria Minera"
10.237385,-64.625124,"Refineria"
10.21413,-64.704624,"Atracadero"
10.20273,-64.70374,"Atracadero"
10.11021,-64.740331,"Pueblo"
